timestamp,value,measurement_type,axis,axis_label
2024-06-04 06:48:31+00:00,0.006599953398108482,acceleration,x,axial
2024-06-04 06:48:31+00:00,0.008477697148919106,acceleration,y,horizontal
2024-06-04 06:48:31+00:00,0.007955995388329029,acceleration,z,vertical
2024-06-04 06:58:31+00:00,0.00647405069321394,acceleration,x,axial
2024-06-04 06:58:31+00:00,0.008222981356084347,acceleration,y,horizontal
2024-06-04 06:58:31+00:00,0.008559699170291424,acceleration,z,vertical
2024-06-04 07:08:31+00:00,0.006296358071267605,acceleration,x,axial
2024-06-04 07:08:31+00:00,0.008393595926463604,acceleration,y,horizontal
2024-06-04 07:08:31+00:00,0.008498303592205048,acceleration,z,vertical
2024-06-04 07:18:31+00:00,0.006290193181484938,acceleration,x,axial
2024-06-04 07:18:31+00:00,0.008393117226660252,acceleration,y,horizontal
2024-06-04 07:18:31+00:00,0.008396600373089314,acceleration,z,vertical
2024-06-04 07:28:31+00:00,0.006498563103377819,acceleration,x,axial
2024-06-04 07:28:31+00:00,0.008463971316814423,acceleration,y,horizontal
2024-06-04 07:28:31+00:00,0.008055896498262882,acceleration,z,vertical
2024-06-04 07:38:31+00:00,0.00642761867493391,acceleration,x,axial
2024-06-04 07:38:31+00:00,0.008146790787577629,acceleration,y,horizontal
2024-06-04 07:38:31+00:00,0.007925706915557384,acceleration,z,vertical
2024-06-04 07:48:31+00:00,0.006589706055819988,acceleration,x,axial
2024-06-04 07:48:31+00:00,0.008205872029066086,acceleration,y,horizontal
2024-06-04 07:48:31+00:00,0.00816929992288351,acceleration,z,vertical
2024-06-04 07:58:31+00:00,0.006453018169850111,acceleration,x,axial
2024-06-04 07:58:31+00:00,0.00846332311630249,acceleration,y,horizontal
2024-06-04 07:58:31+00:00,0.008736338466405869,acceleration,z,vertical
2024-06-04 08:08:31+00:00,0.00614597974345088,acceleration,x,axial
2024-06-04 08:08:31+00:00,0.00840406771749258,acceleration,y,horizontal
2024-06-04 08:08:31+00:00,0.008856216445565224,acceleration,z,vertical
2024-06-04 08:18:31+00:00,0.006611902266740799,acceleration,x,axial
2024-06-04 08:18:31+00:00,0.008480789139866829,acceleration,y,horizontal
2024-06-04 08:18:31+00:00,0.008699801750481129,acceleration,z,vertical
2024-06-04 08:28:31+00:00,0.006459255702793598,acceleration,x,axial
2024-06-04 08:28:31+00:00,0.008110386319458485,acceleration,y,horizontal
2024-06-04 08:28:31+00:00,0.00845955777913332,acceleration,z,vertical
2024-06-04 08:38:31+00:00,0.0061881328001618385,acceleration,x,axial
2024-06-04 08:38:31+00:00,0.008358976803719997,acceleration,y,horizontal
2024-06-04 08:38:31+00:00,0.007859707809984684,acceleration,z,vertical
2024-06-04 08:48:31+00:00,0.006522310432046652,acceleration,x,axial
2024-06-04 08:48:31+00:00,0.008510495536029339,acceleration,y,horizontal
2024-06-04 08:48:31+00:00,0.007948687300086021,acceleration,z,vertical
2024-06-04 08:58:31+00:00,0.006063214503228664,acceleration,x,axial
2024-06-04 08:58:31+00:00,0.00830543041229248,acceleration,y,horizontal
2024-06-04 08:58:31+00:00,0.007978149689733982,acceleration,z,vertical
2024-06-04 09:08:31+00:00,0.006105469074100256,acceleration,x,axial
2024-06-04 09:08:31+00:00,0.008391380310058594,acceleration,y,horizontal
2024-06-04 09:08:31+00:00,0.00803893618285656,acceleration,z,vertical
2024-06-04 09:18:31+00:00,0.006271161139011383,acceleration,x,axial
2024-06-04 09:18:31+00:00,0.008337683044373989,acceleration,y,horizontal
2024-06-04 09:18:31+00:00,0.007848910056054592,acceleration,z,vertical
2024-06-04 09:28:31+00:00,0.006055918987840414,acceleration,x,axial
2024-06-04 09:28:31+00:00,0.00841544196009636,acceleration,y,horizontal
2024-06-04 09:28:31+00:00,0.008517497219145298,acceleration,z,vertical
2024-06-04 09:38:31+00:00,0.006472017616033554,acceleration,x,axial
2024-06-04 09:38:31+00:00,0.008365892805159092,acceleration,y,horizontal
2024-06-04 09:38:31+00:00,0.008164186961948872,acceleration,z,vertical
2024-06-04 09:48:31+00:00,0.006061679217964411,acceleration,x,axial
2024-06-04 09:48:31+00:00,0.008646830916404724,acceleration,y,horizontal
2024-06-04 09:48:31+00:00,0.007994065061211586,acceleration,z,vertical
2024-06-04 09:58:31+00:00,0.006221793591976166,acceleration,x,axial
2024-06-04 09:58:31+00:00,0.008410272188484669,acceleration,y,horizontal
2024-06-04 09:58:31+00:00,0.008348522707819939,acceleration,z,vertical
2024-06-04 10:08:31+00:00,0.006708537694066763,acceleration,x,axial
2024-06-04 10:08:31+00:00,0.00822862796485424,acceleration,y,horizontal
2024-06-04 10:08:31+00:00,0.008123303763568401,acceleration,z,vertical
2024-06-04 10:18:31+00:00,0.006269335281103849,acceleration,x,axial
2024-06-04 10:18:31+00:00,0.008126482367515564,acceleration,y,horizontal
2024-06-04 10:18:31+00:00,0.00800731685012579,acceleration,z,vertical
2024-06-04 10:28:31+00:00,0.006525509990751743,acceleration,x,axial
2024-06-04 10:28:31+00:00,0.008235679939389229,acceleration,y,horizontal
2024-06-04 10:28:31+00:00,0.007884230464696884,acceleration,z,vertical
2024-06-04 10:38:31+00:00,0.006472369190305471,acceleration,x,axial
2024-06-04 10:38:31+00:00,0.00849311612546444,acceleration,y,horizontal
2024-06-04 10:38:31+00:00,0.008150259964168072,acceleration,z,vertical
2024-06-04 10:48:31+00:00,0.006303583737462759,acceleration,x,axial
2024-06-04 10:48:31+00:00,0.008430875837802887,acceleration,y,horizontal
2024-06-04 10:48:31+00:00,0.008387465961277485,acceleration,z,vertical
2024-06-04 10:58:31+00:00,0.0062512182630598545,acceleration,x,axial
2024-06-04 10:58:31+00:00,0.00839688628911972,acceleration,y,horizontal
2024-06-04 10:58:31+00:00,0.008447887375950813,acceleration,z,vertical
2024-06-04 11:08:31+00:00,0.006199275143444538,acceleration,x,axial
2024-06-04 11:08:31+00:00,0.008452044799923897,acceleration,y,horizontal
2024-06-04 11:08:31+00:00,0.00825869757682085,acceleration,z,vertical
2024-06-04 11:18:31+00:00,0.006283725146204233,acceleration,x,axial
2024-06-04 11:18:31+00:00,0.00836037378758192,acceleration,y,horizontal
2024-06-04 11:18:31+00:00,0.008396275341510773,acceleration,z,vertical
2024-06-04 11:28:31+00:00,0.006116689648479223,acceleration,x,axial
2024-06-04 11:28:31+00:00,0.00832349993288517,acceleration,y,horizontal
2024-06-04 11:28:31+00:00,0.008282160386443138,acceleration,z,vertical
2024-06-04 11:38:31+00:00,0.006532805040478706,acceleration,x,axial
2024-06-04 11:38:31+00:00,0.00855970662087202,acceleration,y,horizontal
2024-06-04 11:38:31+00:00,0.00859161652624607,acceleration,z,vertical
2024-06-04 11:48:31+00:00,0.006136298179626465,acceleration,x,axial
2024-06-04 11:48:31+00:00,0.008172650821506977,acceleration,y,horizontal
2024-06-04 11:48:31+00:00,0.007803786545991898,acceleration,z,vertical
2024-06-04 11:58:31+00:00,0.006352005992084742,acceleration,x,axial
2024-06-04 11:58:31+00:00,0.008346096612513065,acceleration,y,horizontal
2024-06-04 11:58:31+00:00,0.008221517316997051,acceleration,z,vertical
2024-06-04 12:08:31+00:00,0.006471861619502306,acceleration,x,axial
2024-06-04 12:08:31+00:00,0.008307642303407192,acceleration,y,horizontal
2024-06-04 12:08:31+00:00,0.008285184390842915,acceleration,z,vertical
2024-06-04 12:18:31+00:00,0.00622807489708066,acceleration,x,axial
2024-06-04 12:18:31+00:00,0.008549355901777744,acceleration,y,horizontal
2024-06-04 12:18:31+00:00,0.008192310109734535,acceleration,z,vertical
2024-06-04 12:28:31+00:00,0.00632811151444912,acceleration,x,axial
2024-06-04 12:28:31+00:00,0.008239511400461197,acceleration,y,horizontal
2024-06-04 12:28:31+00:00,0.00831845123320818,acceleration,z,vertical
2024-06-04 12:38:31+00:00,0.006823726464062929,acceleration,x,axial
2024-06-04 12:38:31+00:00,0.008588847704231739,acceleration,y,horizontal
2024-06-04 12:38:31+00:00,0.008025599643588066,acceleration,z,vertical
2024-06-04 12:48:31+00:00,0.006470028776675463,acceleration,x,axial
2024-06-04 12:48:31+00:00,0.008632793091237545,acceleration,y,horizontal
2024-06-04 12:48:31+00:00,0.008314257487654686,acceleration,z,vertical
2024-06-04 12:58:31+00:00,0.006384305190294981,acceleration,x,axial
2024-06-04 12:58:31+00:00,0.008253772743046284,acceleration,y,horizontal
2024-06-04 12:58:31+00:00,0.008598153479397297,acceleration,z,vertical
2024-06-04 13:08:31+00:00,0.0065161241218447685,acceleration,x,axial
2024-06-04 13:08:31+00:00,0.00842413492500782,acceleration,y,horizontal
2024-06-04 13:08:31+00:00,0.008521797135472298,acceleration,z,vertical
2024-06-04 13:18:31+00:00,0.006255195941776037,acceleration,x,axial
2024-06-04 13:18:31+00:00,0.008314616046845913,acceleration,y,horizontal
2024-06-04 13:18:31+00:00,0.0080606359988451,acceleration,z,vertical
2024-06-04 13:28:31+00:00,0.006175546906888485,acceleration,x,axial
2024-06-04 13:28:31+00:00,0.00830521434545517,acceleration,y,horizontal
2024-06-04 13:28:31+00:00,0.00860662292689085,acceleration,z,vertical
2024-06-04 13:38:31+00:00,0.006340494379401207,acceleration,x,axial
2024-06-04 13:38:31+00:00,0.008296591229736805,acceleration,y,horizontal
2024-06-04 13:38:31+00:00,0.007745213806629181,acceleration,z,vertical
2024-06-04 13:48:31+00:00,0.006334186997264624,acceleration,x,axial
2024-06-04 13:48:31+00:00,0.008440257050096989,acceleration,y,horizontal
2024-06-04 13:48:31+00:00,0.008291451260447502,acceleration,z,vertical
2024-06-04 13:58:31+00:00,0.00689578615128994,acceleration,x,axial
2024-06-04 13:58:31+00:00,0.008333596400916576,acceleration,y,horizontal
2024-06-04 13:58:31+00:00,0.008401033468544483,acceleration,z,vertical
2024-06-04 14:08:31+00:00,0.0062809595838189125,acceleration,x,axial
2024-06-04 14:08:31+00:00,0.008413203991949558,acceleration,y,horizontal
